graph_id,node_id,node_degree,error
0,0,4,-1.454692203243267
0,1,4,-0.9060467104423904
0,2,5,-1.0556699973073038
0,3,3,-1.0384342408301035
0,4,3,1.3896185352104522
0,5,3,0.15226595302734944
0,6,3,-2.1230581891978306
0,7,2,-0.4673852229723879
0,8,3,-1.1432473670391696
0,9,4,-1.9309210681123266
0,10,2,-2.5012564343571033
0,11,4,-3.1058252405162436
1,0,5,-0.17544801706038818
1,1,2,-0.9710345519318245
1,2,4,2.4058877866334534
1,3,2,-0.28437089986962627
1,4,2,-1.7043934366721563
1,5,3,0.40619553157991983
1,6,2,1.3579305918078757
1,7,4,-2.1727474509801072
1,8,4,1.1524237959700097
1,9,6,-0.7855295617253559
1,10,2,2.3057385876335466
1,11,2,1.8918144877629894
2,0,4,-0.409609022782064
2,1,4,-0.7687875697655654
2,2,2,-1.4478105565663713
2,3,2,-1.2408138803168836
2,4,3,0.601484467065941
2,5,3,-1.2832013066900465
2,6,4,-1.936724258968668
2,7,2,1.682390194899492
2,8,3,-0.7772837398064241
2,9,2,2.125461554625129
2,10,2,-1.3113676928262215
2,11,5,1.7756682793586773
3,0,4,-0.21355901078071887
3,1,4,1.8643521874910125
3,2,4,-0.1244028307400512
3,3,2,-1.2751922973926146
3,4,2,1.9812878544674772
3,5,5,-0.6881838301453505
3,6,4,-0.14994008466759068
3,7,3,0.866243366078127
3,8,3,-0.42058525134069413
3,9,4,1.0292703569996537
3,10,2,-0.19142807423773156
3,11,3,0.7710086941811221
4,0,2,-1.563280581578591
4,1,3,-0.5443353778912917
4,2,5,0.3062179963628803
4,3,3,-0.42437260345626776
4,4,3,-0.38661520955761175
4,5,2,0.23202843809568247
4,6,2,0.8091693671103931
4,7,3,-0.8112699235652838
4,8,4,-0.6650885853137923
4,9,2,1.1285913196652584
4,10,2,-1.7694740723190745
4,11,3,-1.2449817575587134
5,0,7,-0.2449670797444318
5,1,2,-0.5589955038123031
5,2,3,-0.6356334677768869
5,3,2,-0.28397173284156013
5,4,3,1.305770260152594
5,5,3,-0.5479956209231442
5,6,2,-1.7216743669320556
5,7,2,0.4470121423556013
5,8,2,0.2025169372923774
5,9,5,0.06894946704556838
5,10,2,-0.41787078944748013
5,11,5,-0.1502407553976773
6,0,3,1.8519397419191426
6,1,8,0.5678742624285832
6,2,4,0.7963106220267453
6,3,2,-1.7424333622916457
6,4,2,1.6252469517831087
6,5,2,2.3555288075817042
6,6,3,1.4251919461772187
6,7,3,2.0424454625883883
6,8,2,1.6696669794014145
6,9,5,1.4107849607538625
6,10,2,2.5484341687734138
6,11,6,8.515498913014612
7,0,6,0.5196073180200921
7,1,2,-0.1653694270795579
7,2,3,-0.46173671597961435
7,3,3,-0.4718960596127887
7,4,3,-0.13060292876840315
7,5,4,-0.47051310069370217
7,6,2,-1.5403751460043107
7,7,2,2.152019268712115
7,8,2,2.354418864000979
7,9,2,-0.15133888022698241
7,10,2,0.5756885875269122
7,11,5,1.29709966346612
8,0,4,3.1222652383423197
8,1,5,2.6758333579564044
8,2,3,0.8396623322842841
8,3,4,3.177919428233484
8,4,3,2.5079791268609877
8,5,3,0.20268829430341329
8,6,3,3.064609434333896
8,7,3,2.015537227458919
8,8,5,5.610418711528176
8,9,3,5.9847635525684435
8,10,2,1.1339114609959684
8,11,2,5.040967145986738
9,0,3,-0.9251970891929736
9,1,3,-1.1691470098317924
9,2,5,1.8452266368277648
9,3,5,1.4393654586597537
9,4,4,0.6982785718061101
9,5,6,1.686346527242453
9,6,4,1.5953470524979565
9,7,3,1.6078027574082803
9,8,2,0.635634115672696
9,9,3,-1.2000411110324063
9,10,2,0.2264050248412352
9,11,4,-0.26474697584382745
10,0,2,-0.7195415282920348
10,1,4,0.641582225053749
10,2,2,0.6172947874517413
10,3,3,-0.8522023036732723
10,4,4,0.8310988714064266
10,5,3,0.9512115783377866
10,6,2,-0.3428123095708141
10,7,4,-1.205287329207759
10,8,4,1.1557131093277404
10,9,3,-0.9181437421632899
10,10,2,1.0374731960617785
10,11,3,1.1432018299434246
11,0,6,1.0266862286237972
11,1,3,1.3848187107871235
11,2,4,0.9524357930434492
11,3,2,0.008507444258827712
11,4,2,0.3773591904977518
11,5,2,-1.375159862399292
11,6,2,0.017882792672132438
11,7,2,0.6533054857192756
11,8,2,2.2894385408043436
11,9,3,4.158415377963712
11,10,2,0.8915501106300262
11,11,8,7.785488172593023
12,0,4,-0.22360476800272128
12,1,2,-0.07072455651417672
